爷就是那么有风度,但我等,順其琪然,生命在继续,泡沫易醉i,未离开,淚絡橋沐,故人怎追忆,樱花落尽泪已下,温暖不到心里
,,,,,,,,,自己的英雄
,,,,,,,,,敢闯敢拼
,,,,,,,,,耐性与骨气
,,,,,,,,,等我变优秀
,,,,,,,,,热血与梦想
,,,,,,,,,你和梦想我都要
,,,,,,,,,多活一点给自己看
,,,,,,,,,夢在遠方
,,,,,,,,,累却坚持
,,,,,,,,,改写下半生
,,,,,,,,,再痛丶也要坚持
,,,,,,,,,年轻在于拼
,,,,,,,,,有多难就有多勇敢
,,,,,,,,,掌握梦想
,,,,,,,,,含泪不言败
,,,,,,,,,人不死终究会出头
,,,,,,,,,我叫好坚强
,,,,,,,,,用奋斗去征服
,,,,,,,,,跌倒后爬起来
,,,,,,,,,我要无比强大
,,,,,,,,,梦想一直都在
,,,,,,,,,我叫坚强我不哭
,,,,,,,,,厌水的鱼
,,,,,,,,,太阳维修员
,,,,,,,,,美女打手
,,,,,,,,,煉獄人间
,,,,,,,,,莫名的曖昧
,,,,,,,,,灵魂有火
,,,,,,,,,蜕变
,,,,,,,,,笑谈风云
,,,,,,,,,淡忘
,,,,,,,,,笑看红尘
,,,,,,,,,青春易逝
,,,,,,,,,不惑
,,,,,,,,,明日輝煌
,,,,,,,,,向钱看齐
,,,,,,,,,相思成瘾
,,,,,,,,,一生承诺
,,,,,,,,,火山爆米花
,,,,,,,,,人性的丑陋
,,,,,,,,,野味仙儿
,,,,,,,,,迷失的灵魂
,,,,,,,,,灵魂失控
,,,,,,,,,人间贩爱
,,,,,,,,,热血无赖
,,,,,,,,,深情是死罪
,,,,,,,,,幼稚园杠精
,,,,,,,,,远程狙心
,,,,,,,,,乡野小农民
,,,,,,,,,小岛惊魂
,,,,,,,,,奇奇怪怪
,,,,,,,,,精神污染
,,,,,,,,,熬夜逆子
,,,,,,,,,双向迷恋
,,,,,,,,,裙子下的野兽
,,,,,,,,,细节怪物
,,,,,,,,,猎狐
,,,,,,,,,天涯过客
,,,,,,,,,熬夜专家
,,,,,,,,,绿水鬼
,,,,,,,,,天才枪手
,,,,,,,,,富贵不能吟
,,,,,,,,,记忆裂痕
,,,,,,,,,宇宙视角
,,,,,,,,,风风风
,,,,,,,,,深眠勿扰
,,,,,,,,,恋爱瓶颈期
,,,,,,,,,午夜鬼火
,,,,,,,,,邪恶名人
,,,,,,,,,火锅旺人
,,,,,,,,,贩卖焦虑
,,,,,,,,,售卖爱意
,,,,,,,,,等风热吻
,,,,,,,,,月色不够温柔
,,,,,,,,,毒瘾
,,,,,,,,,选择离开
,,,,,,,,,间歇性心动
,,,,,,,,,言不由衷
,,,,,,,,,何必太多情
,,,,,,,,,霸者才是王道
,,,,,,,,,奶兔大魔王
,,,,,,,,,不靠谱的女孩
,,,,,,,,,听风说爱你
,,,,,,,,,
,,,,,,,,,杀戮浪者
,,,,,,,,,打野网操
,,,,,,,,,寒山夜半钟
,,,,,,,,,我的温柔喂过狗
,,,,,,,,,安如少年
,,,,,,,,,遗失的旧时光
,,,,,,,,,听风挽
,,,,,,,,,不将就
,,,,,,,,,他入她心碎我梦
,,,,,,,,,理想三旬
,,,,,,,,,奶糖味小可爱
,,,,,,,,,沫栀
,,,,,,,,,我的幸福谁来买单
,,,,,,,,,孤浪王者
,,,,,,,,,潮男情歌
,,,,,,,,,扑进哥哥怀里
,,,,,,,,,比太阳还暖
,,,,,,,,,满眼星河
,,,,,,,,,
,,,,,,,,,月下心事独酌
,,,,,,,,,放手
,,,,,,,,,深爱如长风
,,,,,,,,,那一年的蜕变
,,,,,,,,,淡看悲欢离合
,,,,,,,,,暮倦
,,,,,,,,,淡墨无殇
,,,,,,,,,红颜情断肠
,,,,,,,,,云淡天高
,,,,,,,,,半傻半呆半疯癫
,,,,,,,,,情声未远悠扬
,,,,,,,,,眼球征服世界
,,,,,,,,,忘年祭陌
,,,,,,,,,错爱
,,,,,,,,,知足的幸福
,,,,,,,,,无言温柔
,,,,,,,,,守护
,,,,,,,,,魂牵梦萦
,,,,,,,,,夜阑珊人寂寞
,,,,,,,,,冲出梦魇
,,,,,,,,,爷拽得有气质
,,,,,,,,,倾尽天下
,,,,,,,,,烟圈
,,,,,,,,,吞云吐雾伴惆怅
,,,,,,,,,空留恨
,,,,,,,,,天启
,,,,,,,,,对风忆尘
,,,,,,,,,褪色灵感
,,,,,,,,,烟花陨落半城烟沙
,,,,,,,,,风光无限
,,,,,,,,,你来我往
,,,,,,,,,朦胧感觉
,,,,,,,,,听你心声
,,,,,,,,,口是心非
,,,,,,,,,越夜越寂寞
,,,,,,,,,最初的孤单
,,,,,,,,,谈情不说爱
,,,,,,,,,断点_
,,,,,,,,,爱随缘
,,,,,,,,,习惯孤单
,,,,,,,,,好聚好散
,,,,,,,,,烟酒释情伤
,,,,,,,,,街头拥吻
,,,,,,,,,君子蓝颜
,,,,,,,,,完美生活
,,,,,,,,,风清月明
,,,,,,,,,我愿意为你换根烟
,,,,,,,,,月下孤独
,,,,,,,,,心若没有了方向
,,,,,,,,,半夏寂
,,,,,,,,,等待不是为了等待
,,,,,,,,,火星上的男人
,,,,,,,,,赎救
,,,,,,,,,华丽的沉默
,,,,,,,,,
,,,,,,,,,美男
,,,,,,,,,完美de演技
,,,,,,,,,少年
,,,,,,,,,你是我的遇见
,,,,,,,,,没心没肺真的累
,,,,,,,,,乱世凶手
,,,,,,,,,忘了你忘了自己
,,,,,,,,,千百次伤悲
,,,,,,,,,流泪的承诺
,,,,,,,,,令人疼痛的回忆
,,,,,,,,,我把心寄错了地址
,,,,,,,,,你独揽我
,,,,,,,,,奇迹少年
,,,,,,,,,温柔是只鬼
,,,,,,,,,探索欲望
,,,,,,,,,世俗
,,,,,,,,,最繁华时最残忍
,,,,,,,,,泪溅花心
,,,,,,,,,葬心仪式
,,,,,,,,,殘缺的回憶
,,,,,,,,,痛苦的呻吟
,,,,,,,,,哭不完索性笑
,,,,,,,,,触碰岁月
,,,,,,,,,何必天真
,,,,,,,,,泪难流
,,,,,,,,,沉默的爱
,,,,,,,,,没感情就绝交
,,,,,,,,,情感防御
,,,,,,,,,退到无路可退
,,,,,,,,,时间冲淡一切回忆
,,,,,,,,,心在流浪
,,,,,,,,,丢了天真失了美好
,,,,,,,,,雾已泪聚
,,,,,,,,,世界很宽孤独很满
,,,,,,,,,久了就旧了
,,,,,,,,,梦醒人散
,,,,,,,,,孤独的悲伤
,,,,,,,,,伪装的坚强
,,,,,,,,,难以启齿的伤悲
,,,,,,,,,一刹那的痛苦
,,,,,,,,,遥远的距离
,,,,,,,,,冷奈丶
,,,,,,,,,等在十字路口
,,,,,,,,,微笑掩饰住伤口
,,,,,,,,,输得太彻底
,,,,,,,,,孤独的像条野狗
,,,,,,,,,淅淅沥沥单身女孩
,,,,,,,,,陌语
,,,,,,,,,笑拥冷风
,,,,,,,,,你不懂海的哭泣
,,,,,,,,,准备遗忘
,,,,,,,,,陌生的拥抱
,,,,,,,,,寂寞说想你
,,,,,,,,,难逃离和分
,,,,,,,,,往昔已逝
,,,,,,,,,仅剩的微笑
,,,,,,,,,一个人的寂寞
,,,,,,,,,孤独下的心伤
,,,,,,,,,烟熏遮住眼底伤
,,,,,,,,,只适合被遗忘
,,,,,,,,,一个怕孤独的孩子
,,,,,,,,,孑然一身
,,,,,,,,,旧城旧巷旧少年
,,,,,,,,,妄想只手摘星
,,,,,,,,,孤独的夜
,,,,,,,,,菰萙难眠
,,,,,,,,,没有结果的等待
,,,,,,,,,謊言負心人
,,,,,,,,,陌生的熟悉
,,,,,,,,,孤独情话
,,,,,,,,,守不住的空城
,,,,,,,,,无情无义
,,,,,,,,,哭到世界为我痛
,,,,,,,,,心累疲惫没人体会
,,,,,,,,,繁花落尽
,,,,,,,,,繁华殆尽盡是殤
,,,,,,,,,落笔映惆怅
,,,,,,,,,南篱旧事
,,,,,,,,,连敷衍都成奢望
,,,,,,,,,星远赴人间惊鸿宴
,,,,,,,,,你是恩赐也是劫
,,,,,,,,,我来和你说晚安
,,,,,,,,,独自听歌消愁
,,,,,,,,,你携秋水揽星河
,,,,,,,,,城东以东皆以空
,,,,,,,,,你也不是我的救赎
,,,,,,,,,这辈子我放过你了
,,,,,,,,,寄意寒星荃不察
,,,,,,,,,故事愿与你听
,,,,,,,,,枕头一直没干
,,,,,,,,,心若不动风又奈何
,,,,,,,,,微风遥看茱萸
,,,,,,,,,谁都可以离你而去
,,,,,,,,,故事已忘
,,,,,,,,,我们形同陌路
,,,,,,,,,我不想看见她哭
,,,,,,,,,与微风撞满怀
,,,,,,,,,把难过讲给风
,,,,,,,,,鲸叫我照顾海
,,,,,,,,,她说等她回来
,,,,,,,,,星星得不到爱火
,,,,,,,,,他放弃你了吗
,,,,,,,,,别在让我心动了
,,,,,,,,,你说世间无爱
,,,,,,,,,不用羡慕别人
,,,,,,,,,扛落雨晴无你
,,,,,,,,,深夜又想起她
,,,,,,,,,耀摘满天星辰
,,,,,,,,,你曾说过温暖
,,,,,,,,,阳台风晓人情
,,,,,,,,,槛外长江空自流
,,,,,,,,,我回头在寻找
,,,,,,,,,我忘了你也很普通
,,,,,,,,,恰似星沉大海
,,,,,,,,,也曾有幸遇到你
,,,,,,,,,你还有遗憾吗
,,,,,,,,,雨淋湿了天空
,,,,,,,,,爱是万般难过
,,,,,,,,,期待下一次见面
,,,,,,,,,夜长使月光冷
,,,,,,,,,谁能感同我的身受
,,,,,,,,,晚安她没收到
,,,,,,,,,城西以西不再喜
,,,,,,,,,对方还不是你好友
,,,,,,,,,鱼波泛起涟漪
,,,,,,,,,还是熬过来了
,,,,,,,,,谈笑风生不动情
,,,,,,,,,城南以南不再南
,,,,,,,,,那时她真的喜欢我
,,,,,,,,,错过你是我的过错
,,,,,,,,,她说这次一定认真
,,,,,,,,,往事寄与西风
,,,,,,,,,你自月中来
,,,,,,,,,只是很爱你
,,,,,,,,,只愿一起走过
,,,,,,,,,悲伤恋爱
,,,,,,,,,爱听风的声音
,,,,,,,,,迟暮残存余温
,,,,,,,,,能否再爱一次
,,,,,,,,,薔薇下的夢淚
,,,,,,,,,下一刻的短暂
,,,,,,,,,最远的距离
,,,,,,,,,淡淡的记忆
,,,,,,,,,心死绿稻田
,,,,,,,,,半粒糖甜到伤
,,,,,,,,,冷安笑看世间繁华
,,,,,,,,,爱了伤了痛了
,,,,,,,,,结局逼真的太虚伪
,,,,,,,,,半暖夏伤情未央
,,,,,,,,,醉梦人生
,,,,,,,,,人心太拥挤
,,,,,,,,,独看夕阳
,,,,,,,,,无一处是归途
,,,,,,,,,無法峜及旳光
,,,,,,,,,走丢了的幸福
,,,,,,,,,爱够了伤透了
,,,,,,,,,梦醒伤人心
,,,,,,,,,泪湿罗衣
,,,,,,,,,时光予我孤独
,,,,,,,,,泪人怎笑
,,,,,,,,,暖了时光冷了情
,,,,,,,,,记忆凋零在花季
,,,,,,,,,沉沦的伤痛
,,,,,,,,,遺莣嬡
,,,,,,,,,流泪听情歌
,,,,,,,,,别了那曾經
,,,,,,,,,当一切都破碎后
,,,,,,,,,捂着心说胃疼
,,,,,,,,,终究一场空
,,,,,,,,,曾经发了疯的想
,,,,,,,,,愿时光静好你安好
,,,,,,,,,末日携手
,,,,,,,,,青柠
,,,,,,,,,天使的翅膀
,,,,,,,,,三月海蓝
,,,,,,,,,与我苍老
,,,,,,,,,素雪怜影
,,,,,,,,,碧籽莲芯
,,,,,,,,,青青子矜
,,,,,,,,,语笑嫣然
,,,,,,,,,微微一笑倾城
,,,,,,,,,浅缘半生怨
,,,,,,,,,万人空巷
,,,,,,,,,紫色温馨
,,,,,,,,,梦幻蝶雪
,,,,,,,,,韶香美韵
,,,,,,,,,那一季花开
,,,,,,,,,森旅里迷了路
,,,,,,,,,东京的樱花在哭泣
,,,,,,,,,兰花洁如玉
,,,,,,,,,梵高的向日葵
,,,,,,,,,半夏微凉
,,,,,,,,,浅夏诗韵
,,,,,,,,,紫阡陌尘
,,,,,,,,,夏沫浅雨
,,,,,,,,,衣酌浅斟
,,,,,,,,,Angle菲菲
,,,,,,,,,梦醉红颜
,,,,,,,,,筱小雅
,,,,,,,,,寂寞的街
,,,,,,,,,碧水蓝天
,,,,,,,,,午夜的香吻
,,,,,,,,,囚谜纪事
,,,,,,,,,番茄女孩
,,,,,,,,,蝶依秋恋
,,,,,,,,,安静的很绝对
,,,,,,,,,午夜的雨
,,,,,,,,,浅笑释然
,,,,,,,,,阳光下透着清晰感
,,,,,,,,,时间煮雨我煮鱼
,,,,,,,,,凉薄少女泪倾城
,,,,,,,,,待我青丝变白发
,,,,,,,,,得瑟过劲必闪腰
,,,,,,,,,情歌越老越有味
,,,,,,,,,橘子你个哦润桔
,,,,,,,,,时光催老少年郎
,,,,,,,,,校服一穿就变乖
,,,,,,,,,怎么敷衍怎么演
,,,,,,,,,夜落花台雨份飛
,,,,,,,,,抗忙北鼻沟沟沟
,,,,,,,,,琴声悠悠候佳人
,,,,,,,,,浅绿少年薄荷凉
,,,,,,,,,八百逗逼奔北坡
,,,,,,,,,凉情凉心亦凉梦
,,,,,,,,,伤了初冬白了城
,,,,,,,,,空城凉梦风轻眠
,,,,,,,,,骑着蜗牛拽天下
,,,,,,,,,半夏琉璃空人心
,,,,,,,,,你是我心上的疤
,,,,,,,,,香蕉你个不娜娜
,,,,,,,,,长了一脸美人痣
,,,,,,,,,耗尽余生等一人
,,,,,,,,,梦想起航我起床
,,,,,,,,,脑海里的未亡人
,,,,,,,,,古城深巷旧少年
,,,,,,,,,敢爱敢恨敢放弃
,,,,,,,,,同是学渣沦落人
,,,,,,,,,青春荒唐不负你
,,,,,,,,,少年未老心已凉
,,,,,,,,,心不凉透难死心
,,,,,,,,,曾经薄荷少年凉
,,,,,,,,,君既无情我便休
,,,,,,,,,谁纵我一世猖狂
,,,,,,,,,躺在棺材里思考
,,,,,,,,,故事配酒你配狗
,,,,,,,,,杏花微雨又逢君
,,,,,,,,,不哭不闹不炫耀
,,,,,,,,,
,,,,,,,,,败给了感情二字
,,,,,,,,,空城旧忆故人离
,,,,,,,,,丢三丢四不丢你
,,,,,,,,,心欲静而疯不止
,,,,,,,,,我的好过期不候
,,,,,,,,,讨一身可爱
,,,,,,,,,起司奶香猫
,,,,,,,,,神级小可爱
,,,,,,,,,怀揣小粉兔
,,,,,,,,,橘子有点甜
,,,,,,,,,青涩
,,,,,,,,,混世小魔女
,,,,,,,,,九度少女
,,,,,,,,,圆脸兔叽
,,,,,,,,,软萌甜心
,,,,,,,,,角枕题诗
,,,,,,,,,别惹菇凉
,,,,,,,,,猫街少女梦
,,,,,,,,,情浅凉心
,,,,,,,,,谁捡了我的梦
,,,,,,,,,情不动则心动
,,,,,,,,,一介俗人
,,,,,,,,,為何動情
,,,,,,,,,倾听冷暖
,,,,,,,,,揽你入怀
,,,,,,,,,一壶温酒
,,,,,,,,,候你已久
,,,,,,,,,顽皮粉红豹
,,,,,,,,,酒乃鱼
,,,,,,,,,蓝颜
,,,,,,,,,天真微笑
,,,,,,,,,拥你久暖
,,,,,,,,,光着脚丫子
,,,,,,,,,软萌软萌的你
,,,,,,,,,一丢丢可爱
,,,,,,,,,可爱指挥官
,,,,,,,,,少女心
,,,,,,,,,限量版少女
,,,,,,,,,爱笑美眉
,,,,,,,,,微笑太甜
,,,,,,,,,待见归春
,,,,,,,,,天生小仙女
,,,,,,,,,早乙女
,,,,,,,,,熏衣草的微风
,,,,,,,,,软果儿
,,,,,,,,,迷人少女
,,,,,,,,,温柔眼眉
,,,,,,,,,椿屋小奈
,,,,,,,,,迷你小可爱
,,,,,,,,,夕夏温纯
,,,,,,,,,三十九度风
,,,,,,,,,颠沛流离只为你
,,,,,,,,,暖风撩人
,,,,,,,,,我的世界必须有你
,,,,,,,,,初夏的樱花
,,,,,,,,,尘沙飞扬
,,,,,,,,,九夏光年
,,,,,,,,,來時白衫
,,,,,,,,,笙痞
,,,,,,,,,秋凉瑾言
,,,,,,,,,温山软水
,,,,,,,,,绅刃
,,,,,,,,,酒意入桃枝
,,,,,,,,,嘶喑甜言
,,,,,,,,,比忠
,,,,,,,,,闲懒诗人
,,,,,,,,,白鹭先生
,,,,,,,,,墨白少羽
,,,,,,,,,青舟弄酒
,,,,,,,,,下个八月见
,,,,,,,,,醉南桥
,,,,,,,,,诗的颈窝
,,,,,,,,,痴意少年
,,,,,,,,,何人一笑
,,,,,,,,,白衣酒客
,,,,,,,,,南简
,,,,,,,,,世间万物明澈见底
,,,,,,,,,冷月长空
,,,,,,,,,风浒涟漪
,,,,,,,,,酒醒梦迟
,,,,,,,,,遙遙無遠方
,,,,,,,,,风急风也清
,,,,,,,,,偶尔平凡
,,,,,,,,,困倦里说爱
,,,,,,,,,独遇不与
,,,,,,,,,一镜
,,,,,,,,,俛就
,,,,,,,,,敗者王战
,,,,,,,,,听风细雨
,,,,,,,,,远方有我
,,,,,,,,,青冢暮
,,,,,,,,,温柔行凶者
,,,,,,,,,树雾
,,,,,,,,,晚鲸
,,,,,,,,,无上限宠你
,,,,,,,,,择以年
,,,,,,,,,君未叹沉香
,,,,,,,,,帝王不怀旧
,,,,,,,,,枕边旧宠
,,,,,,,,,素酒青衣贤
,,,,,,,,,自捅千刀
,,,,,,,,,感谢毁我熱情
,,,,,,,,,七分冷酷
,,,,,,,,,長野
,,,,,,,,,穿过世界去爱你
,,,,,,,,,清醒是犯规
,,,,,,,,,逢仒三分笑
,,,,,,,,,战场将军
,,,,,,,,,寄往的信
,,,,,,,,,不是山谷
,,,,,,,,,深海映星辰
,,,,,,,,,墜機飛行員
,,,,,,,,,过期易拉罐
,,,,,,,,,不再行凶
,,,,,,,,,多喜欢你
,,,,,,,,,垂涎自由
,,,,,,,,,执酒共酌
,,,,,,,,,寄与心
,,,,,,,,,挽歌少年
,,,,,,,,,北港初晴
,,,,,,,,,我只拥你
,,,,,,,,,过去的过不去
,,,,,,,,,失意的片刻
,,,,,,,,,找回遗失的自己
,,,,,,,,,泪染裳
,,,,,,,,,故作悲伤
,,,,,,,,,有你心安
,,,,,,,,,遍及山河
,,,,,,,,,孤岛爱人
,,,,,,,,,回忆越甜越伤人
,,,,,,,,,抚你发端
,,,,,,,,,客串情人
,,,,,,,,,笙语亦凉
,,,,,,,,,尘缘若梦
,,,,,,,,,思念成风
,,,,,,,,,一封信笺
,,,,,,,,,浮生一萝
,,,,,,,,,倾心之夏
,,,,,,,,,风尽起长歌
,,,,,,,,,场罚期间
,,,,,,,,,不浪漫的浪漫
,,,,,,,,,酒巷清风
,,,,,,,,,浮夸爷们er
,,,,,,,,,搁浅忘忧
,,,,,,,,,亡城孤影
,,,,,,,,,青灯为伴
,,,,,,,,,浮生物语
,,,,,,,,,可有可无
,,,,,,,,,情殇念断
,,,,,,,,,笑敬过往
,,,,,,,,,一生孤注
,,,,,,,,,旧人陌兮
,,,,,,,,,龙行天下
,,,,,,,,,无处安放
,,,,,,,,,全球焦點
,,,,,,,,,慕心倾寒
,,,,,,,,,旧巷听风
,,,,,,,,,时过境迁
,,,,,,,,,凉生凉忆
,,,,,,,,,只言片语
,,,,,,,,,像風一樣
,,,,,,,,,他是毒药
,,,,,,,,,汐颜兮梦
,,,,,,,,,悲歌长辞
,,,,,,,,,吹乱心事
,,,,,,,,,呆滞与梦
,,,,,,,,,如你笨拙
,,,,,,,,,套路撩人
,,,,,,,,,作茧自缚
,,,,,,,,,
,,,,,,,,,处处留情
,,,,,,,,,偷心贩子
,,,,,,,,,怪我太傻
,,,,,,,,,离人毁心
,,,,,,,,,流水随风
,,,,,,,,,俗世几多
,,,,,,,,,借你一生
,,,,,,,,,多高级呢
,,,,,,,,,十里长街
,,,,,,,,,不如离去
,,,,,,,,,痴心病友
,,,,,,,,,存在即合理
,,,,,,,,,格格不入
,,,,,,,,,咖啡杯中的沉默
,,,,,,,,,大号萝莉
,,,,,,,,,啊叻
,,,,,,,,,女生网名
,,,,,,,,,时光孤独者
,,,,,,,,,忽而半夏
,,,,,,,,,暮光沉寂
,,,,,,,,,只是心疼你了而已
,,,,,,,,,穷我一生
,,,,,,,,,无人之境
,,,,,,,,,隔纱相望
,,,,,,,,,黑心烂肺
,,,,,,,,,抱不住太阳的深海
,,,,,,,,,纤竹无泪拒泪
,,,,,,,,,北城以北无边的天
,,,,,,,,,想找个人来爱我
,,,,,,,,,早安早安早已安心
,,,,,,,,,孤独至死
,,,,,,,,,狗永远会是狗
,,,,,,,,,不及人心
,,,,,,,,,倾听那段爱
,,,,,,,,,冰凝紫雪
,,,,,,,,,嵌入我心
,,,,,,,,,致命的伤害
,,,,,,,,,为了爱离开你
,,,,,,,,,时间海
,,,,,,,,,南城以南无边的海
,,,,,,,,,挽留借口
,,,,,,,,,文字太轻
,,,,,,,,,自找的别喊痛
,,,,,,,,,练习说再见
,,,,,,,,,失去是一种珍惜
,,,,,,,,,有种自恋叫小贤
,,,,,,,,,碎碎念然后想象你
,,,,,,,,,少扯犊子多办事
,,,,,,,,,抚涟
,,,,,,,,,淡梦未相惜
,,,,,,,,,森芋暖暖
,,,,,,,,,总有美人想害朕
,,,,,,,,,只是想念你了而已
,,,,,,,,,飞鱼幕嫣
,,,,,,,,,转身离开
,,,,,,,,,街角丶颓废
,,,,,,,,,泛滥情妄想
,,,,,,,,,木槿昔年
,,,,,,,,,柏林的雪花飘
,,,,,,,,,暴晒在一旁的寂寞
,,,,,,,,,坠落在天空的星星
,,,,,,,,,玩笑般的玩笑
,,,,,,,,,筝宁
,,,,,,,,,伤已成曲
,,,,,,,,,撅嘴暖男
,,,,,,,,,失恋d真多
,,,,,,,,,古城小巷少年已去
,,,,,,,,,黄泉路上我陪你
,,,,,,,,,夏日的黑校
,,,,,,,,,晚安晚安安入我心
,,,,,,,,,单身情歌
,,,,,,,,,青蛙香蕉胡萝贝
,,,,,,,,,欧美你妹
,,,,,,,,,他离她城
,,,,,,,,,你给的恩情似海深
,,,,,,,,,我不比她差
,,,,,,,,,下辈子等我
,,,,,,,,,骄傲的资本
,,,,,,,,,
,,,,,,,,,梦萝c
,,,,,,,,,背後的冷漠
,,,,,,,,,不是所有情都是爱
,,,,,,,,,你是我的梦想
,,,,,,,,,幻爱止水
,,,,,,,,,不是所有爱都叫情
,,,,,,,,,
,,,,,,,,,沧伤微夏弃流年
,,,,,,,,,我与幸福水土不服
,,,,,,,,,Angle_粉色
,,,,,,,,,我的心疼了谁的心
,,,,,,,,,紫色幽澜
,,,,,,,,,新眼泪
,,,,,,,,,冒烟的金鱼
,,,,,,,,,范er丶的很文艺
,,,,,,,,,诉说那段情
,,,,,,,,,手揣口袋只爱你
,,,,,,,,,你的世界我主宰
,,,,,,,,,安分
,,,,,,,,,梦菲儿
,,,,,,,,,热衷于他
,,,,,,,,,梦在深港
,,,,,,,,,丶妖媚女皇灬
,,,,,,,,,泡沫草莓
,,,,,,,,,拥抱好么让我踏实
,,,,,,,,,微凉的清雪
,,,,,,,,,思念从寒意中飘来
,,,,,,,,,我拿潇洒掩盖泪花
,,,,,,,,,堇年纸鸢
,,,,,,,,,七个鸭梨
,,,,,,,,,你是我的公主
,,,,,,,,,身穿校服丶拽天下
,,,,,,,,,未来不精彩
,,,,,,,,,唯美如花似水
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,柔雪帝姬
,,,,,,,,,命中不缺狗
,,,,,,,,,寂寞成烟黄昏成恋
,,,,,,,,,青春向上
,,,,,,,,,说句好听的
,,,,,,,,,再次釋懷
,,,,,,,,,看谁笑到最后
,,,,,,,,,仰望辉煌
,,,,,,,,,好好学习天天向上
,,,,,,,,,活好自己
,,,,,,,,,随遇而安丶
,,,,,,,,,y加油相信你
,,,,,,,,,我会坚强
,,,,,,,,,追梦抓梦
,,,,,,,,,天长地久
,,,,,,,,,分开不代表分手
,,,,,,,,,你会坚强的
,,,,,,,,,自信
,,,,,,,,,把梦护好别碎掉
,,,,,,,,,丑姑娘也有珍珠梦
,,,,,,,,,重获新的我
,,,,,,,,,苦尽甘来
,,,,,,,,,有生之年
,,,,,,,,,配角也会发光
,,,,,,,,,相信老天是公平的
,,,,,,,,,今年励志当学霸
,,,,,,,,,一切只为中考
,,,,,,,,,失败乃成功之母
,,,,,,,,,坚强挺过
,,,,,,,,,承诺
,,,,,,,,,为未来付出
,,,,,,,,,努力为明天
,,,,,,,,,争取第一
,,,,,,,,,学无止境焉
,,,,,,,,,向快乐出发
,,,,,,,,,青春永不言弃
,,,,,,,,,为未来加油
,,,,,,,,,从未止步
,,,,,,,,,复习者们加油
,,,,,,,,,扶摇直上
,,,,,,,,,逆袭学霸
,,,,,,,,,努力了就会有
,,,,,,,,,加油复习者们
,,,,,,,,,别拿青春赌明天
,,,,,,,,,中考必胜
,,,,,,,,,拼搏奋斗
,,,,,,,,,努力就会闪耀
,,,,,,,,,丶少负气节
,,,,,,,,,拼命菇涼
,,,,,,,,,唯有努力
,,,,,,,,,力争上游
,,,,,,,,,证明我的强大
,,,,,,,,,志在四方
,,,,,,,,,铿锵岁若
,,,,,,,,,没有苦就没有乐
,,,,,,,,,颠覆灬整个世界
,,,,,,,,,知识改变命运
,,,,,,,,,功成名就
,,,,,,,,,勇敢的
,,,,,,,,,放弃是最懦弱的
,,,,,,,,,持之以恒
,,,,,,,,,姑娘要坚强
,,,,,,,,,算什么
,,,,,,,,,一路有你一路向前
,,,,,,,,,阿Q精神
,,,,,,,,,拼自已想要旳未来
,,,,,,,,,我会是最棒的
,,,,,,,,,我比想象中勇敢
,,,,,,,,,仰起头不流泪
,,,,,,,,,姑娘坚强好么
,,,,,,,,,继续实现下一个梦
,,,,,,,,,握紧手里的梦想
,,,,,,,,,坚信自已
,,,,,,,,,好菇娘当自强
,,,,,,,,,奋斗之网络生活网
,,,,,,,,,包容梦想
,,,,,,,,,志当存高远
,,,,,,,,,同甘共苦
,,,,,,,,,学会保护自己
,,,,,,,,,相信自已
,,,,,,,,,视金钱如粪土
,,,,,,,,,幸福如覆薄冰
,,,,,,,,,爱情需要勇气
,,,,,,,,,永远志在四方
,,,,,,,,,Beleveyourself
,,,,,,,,,痛要忍着
,,,,,,,,,不气馁
,,,,,,,,,永不言败
,,,,,,,,,痛定思痛
,,,,,,,,,抓住机遇
,,,,,,,,,努力奔向目标
,,,,,,,,,至上励合
,,,,,,,,,好好学习
,,,,,,,,,鹏飞九万里
,,,,,,,,,白手起家
,,,,,,,,,谁会笑到最后
,,,,,,,,,和我恋吧
,,,,,,,,,风雨兼程
,,,,,,,,,梦想编织着青春
,,,,,,,,,做人要淡定
,,,,,,,,,低调做人
,,,,,,,,,高调做事
,,,,,,,,,没什么大不了
,,,,,,,,,超越梦想
,,,,,,,,,慢慢坚强
,,,,,,,,,无关痛痒
,,,,,,,,,学霸模式开启
,,,,,,,,,坚持就是胜利
,,,,,,,,,男儿当自强
,,,,,,,,,难过的时候就笑吧
,,,,,,,,,无悔我心
,,,,,,,,,有恃无恐
,,,,,,,,,下一个明天
,,,,,,,,,荔枝师
,,,,,,,,,峩想要旳未来
,,,,,,,,,黑暗过后总有光明
,,,,,,,,,抬头展望45天空
,,,,,,,,,火的信仰叫梦想
,,,,,,,,,做最好的me
,,,,,,,,,怒放的生命
,,,,,,,,,坚持
,,,,,,,,,续写青春
,,,,,,,,,放飞的风筝
,,,,,,,,,生命要继续
,,,,,,,,,何必念念不忘丶
,,,,,,,,,无悔青春
,,,,,,,,,寻梦者
,,,,,,,,,快乐丶在明天
,,,,,,,,,这点痛算什么
,,,,,,,,,我要坚强
,,,,,,,,,证明给你看
,,,,,,,,,普通不代表懦弱
,,,,,,,,,遇弱则强
,,,,,,,,,相信自己
,,,,,,,,,一切皆有可能
,,,,,,,,,咫尺的梦想
,,,,,,,,,学会抛开过去
